Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance,Population,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Median Sales Price
$'000s",Mean Sales Price,Annual median salesprice change,Annual change in sales Count,"Sales
No.",No. 1 Bedroom rented,No. 2 Bedroom rented,No. 3 Bedroom rented,No. 4 or more Bedrooms rented,No. Bedsitter rented,No. Not Specified rented,No. Total rents,"Median Weekly Rent for New Bonds
$",Annual change in Median Weekly Rent,Annual change in New Bonds Lodged,"New Bonds Lodged
No.","Total Bonds Held
No.",sum of speeding fines paid in 2015($),SalesNo
2583,2526,2526,46518,39116,0.65,1649,47617,42405,0.12,307,1836,52,2526,49491,41512,2526,2489,495,0.13,326,102734,42978,0.13,331,82966,34586,0.7,1774,13175,8506,2636,138092,56982,3999,2543,2510,113422269,1978,20714981.9,1625,1951749.15,34,55924.36,1623,2003638.02,1747,20728036.78,149,999704,837,910,0,0,5,5,37,63,20,0,5,135,502,0,0,30,265,30488,5
2586,1456,1456,48618,39101,0.69,1009,47171,42624,0.14,206,4669,466,1456,52190,41732,1456,2793,550,0.12,181,137518,34518,0.13,183,117360,31680,0.71,1029,13754,8521,1566,128766,52596,2724,1428,1405,63641146,1110,11783381.18,900,1098698.86,13,16268.33,899,1114953.09,976,11961021.19,108,761748,837,910,0,0,5,5,20,64,20,0,5,111,465,-0.008466667,0.05,45,225,22718,5
2587,1468,1468,47558,39827,0.71,1039,47982,43615,0.14,202,3355,368,1468,50662,42216,1468,2955,658,0.1,143,93514,45280,0.1,143,76285,32323,0.71,1043,13112,8437,1641,126172,47545,2829,1463,1443,69405341,1184,12956244.68,984,1209986.85,10,13358.31,983,1223218.76,1070,13184320.96,110,764723,837,910,0,0,5,5,20,56,5,5,5,108,502,0,0,35,204,31604,5
2590,3653,3653,47138,39357,0.72,2631,49087,44200,0.13,462,1597,940,3653,49923,41367,3653,2561,652,0.09,327,100546,36634,0.09,325,82874,23571,0.71,2578,13322,8677,4161,146287,62232,7109,3651,3604,171156155,2882,32358070.56,2391,2974481.66,35,47650.17,2390,3022025.55,2611,33176660.69,277,1760270,264,279,0.1048,0.6,40,41,147,197,54,0,20,460,379.3333333,0.040866667,-0.052333333,100,919,65926,40
2594,6196,6196,47513,39704,0.74,4611,46150,42135,0.12,759,2168,709,6196,50386,41847,6196,2628,588,0.09,558,100536,40848,0.09,547,80801,26857,0.73,4505,12925,8182,7030,118718,42635,11455,6125,6058,281681817,4940,51652461.96,4045,4850116.88,68,83041,4043,4932081.58,4441,53051518.81,555,3484785,308,330,0.23,0.1351,42,66,356,449,157,5,33,1064,383.4285714,0.054442857,0.068071429,231,2130,131773,42
2620,26358,26358,67120,58160,0.83,22006,67798,62198,0.17,4446,-1972,-1521,26358,69532,60443,26358,2337,774,0.07,1792,74175,27733,0.07,1742,54062,14479,0.83,22005,18989,14274,29175,163483,68976,36434,25281,25145,1623788417,22109,356266934.7,19389,29040156.55,653,814477.69,19393,29850095.49,20892,373349860.7,1134,6469905,510,542,0.0625,0.1986,175,879,1630,928,360,20,131,3951,446.4285714,0.015914286,-0.173,503,7899,261303,175
2621,4223,4223,74231,61738,0.8,3383,75202,67999,0.2,843,-3108,-2448,4223,77024,64238,4223,2661,846,0.09,391,87768,26572,0.09,390,71781,14835,0.82,3462,22846,16293,4520,205353,106379,5371,4078,4047,285563442,3519,66366069.92,3163,5216876.53,115,157974.09,3162,5370734.46,3335,69710086.85,96,549686,790,769,0.1533,0.4211,20,20,32,92,94,0,5,235,507.5,-0.00455,-0.028983333,45,478,55259,20
2622,2274,2274,50329,39682,0.65,1472,57201,49304,0.17,383,3968,706,2274,52722,41452,2274,2104,408,0.17,386,109282,30425,0.17,379,94700,24210,0.68,1557,15567,10356,2444,147519,66261,3260,2224,2192,110935624,1732,22515355.06,1407,1920048.63,40,57922.46,1408,1977941.11,1526,22928605.34,120,874893,590,577,0.2757,-0.4,20,5,53,99,20,0,20,193,473,-0.0052,0.16865,60,390,30711,20
2627,2992,2992,53224,41964,0.81,2428,49022,42027,0.21,624,3389,1106,2992,55830,44256,2992,2478,584,0.14,407,82057,32037,0.13,392,61726,18348,0.78,2336,14603,8731,3457,115700,43122,4398,2939,2919,149073324,2417,29324684.31,2046,2646426.49,31,46283.44,2035,2678637.28,2245,30290473.18,156,842671,425,469,-0.1584,-0.4722,20,51,134,174,64,5,5,431,581,-0.231942857,-0.181742857,168,864,35621,20
2628,1090,1090,45716,39172,0.73,791,46877,42445,0.17,186,3010,1805,1090,48086,42020,1090,2223,574,0.16,177,87285,41898,0.16,176,66135,20690,0.73,791,11698,8338,1196,112981,58801,1807,1080,1072,47735729,847,8451227.79,710,819573.26,3,2777.6,709,818997.5,765,8378090.24,79,526539,837,910,0,0,5,5,20,61,20,0,5,115,470.5,-0.0039,0.033333333,45,226,14911,5
2630,5134,5134,52510,43054,0.75,3855,52594,45947,0.16,817,1375,-2,5134,54884,44931,5134,2239,496,0.1,506,82173,36372,0.1,499,62432,20695,0.75,3869,14377,9329,5533,142528,54652,8330,5101,5072,259892917,4174,51339056.99,3489,4536796.26,59,79341.12,3489,4615394.99,3773,52736625.67,428,2789596,318,323,0.0242,0.2727,42,75,205,313,97,5,20,716,408,0.043685714,0.0055,167,1431,61243,42
2632,1096,1096,51937,43568,0.76,829,51245,45441,0.12,137,2749,800,1096,54770,46326,1096,2771,568,0.11,122,75566,30466,0.11,116,62410,30655,0.76,831,13987,10495,1178,143651,57688,1662,1095,1088,57452932,905,11432635.73,764,991427.94,33,47213.21,764,1038641.15,821,11687092.52,56,377252,837,910,0,0,5,5,20,45,5,0,5,79,502,0,0,30,159,11172,5
2640,22192,22192,56000,45282,0.79,17433,54738,48884,0.14,3171,256,-192,22192,58566,47472,22192,2483,682,0.08,1828,95073,32214,0.08,1775,63881,16670,0.76,16870,16263,10654,23932,163514,62186,33707,21645,21483,1173531154,17729,240585634,15241,20886660.13,242,326329.11,15236,21206807.5,16276,252979955.7,1795,11667894,365,383,-0.0267,0.2657,181,425,1326,1452,685,5,128,4025,353.4285714,0.015628571,0.002771429,778,8046,221090,181
2641,8384,8384,46218,40756,0.81,6782,47604,44652,0.09,758,908,-168,8384,48063,42527,8384,1815,544,0.07,586,214164,32829,0.07,559,201693,15204,0.74,6222,11557,8423,9480,104385,45643,14313,8223,8173,370026934,6673,63697495.26,5521,6226999.31,65,77447.34,5520,6302153.86,6048,66276906.76,975,6333072,252,266,-0.0473,0.1818,78,89,1058,766,250,5,45,2211,380.5714286,0.011471429,-0.040514286,393,4424,91241,78
2642,3082,3082,49636,41636,0.72,2213,49594,44936,0.14,444,3376,803,3082,52680,44244,3082,2660,524,0.11,328,106295,38092,0.1,318,87722,23260,0.75,2299,13454,9427,3189,127497,56898,4999,3023,2991,145594610,2451,27818954.38,2087,2594982.08,22,31047.31,2084,2624864.97,2227,28547221.88,173,1088073,236,238,0.0239,0.1,20,5,20,76,39,5,5,147,480.2857143,0.025214286,0.008928571,50,297,48328,20
2643,1544,1544,45546,41262,0.76,1170,49053,46877,0.12,184,-304,-403,1544,48313,43309,1544,2300,708,0.07,114,122912,22499,0.07,113,106962,8897,0.71,1103,11933,9532,1706,125148,61401,2553,1543,1528,65496187,1208,11169049.46,973,1101841.39,14,13036.76,973,1114875.53,1087,11525046.96,106,676937,306,334,0.1547,0.2857,20,5,52,104,36,0,5,202,439.6666667,0.03365,0.36905,60,404,15708,20
2644,1425,1425,53341,39118,0.69,979,47161,42704,0.14,205,838,471,1425,57243,42249,1425,2643,447,0.11,163,95848,37003,0.11,157,78878,25061,0.7,1001,16925,8880,1478,147456,55968,2593,1426,1404,68254973,1093,13726189.64,907,1202219.47,16,19668.82,907,1221888.29,982,13994014.29,94,627724,837,910,0,0,5,5,31,47,20,5,5,102,502,0,0,35,215,17044,5
2646,3949,3949,47334,39549,0.72,2851,49326,45206,0.13,524,2189,362,3949,50088,41962,3949,2413,690,0.07,276,77769,37000,0.07,268,61985,18878,0.72,2830,12913,9186,4321,140904,59283,6791,3885,3858,174420318,3069,31985909.87,2509,3036340.49,25,26552,2509,3062045.51,2736,33204331.12,302,1934175,275,288,0.134,0.0625,34,35,212,204,67,0,20,530,376.5,0.0713,0.004066667,97,1068,45849,34
2647,1273,1273,46495,39476,0.69,879,48419,44479,0.12,153,4216,1380,1273,48891,41251,1273,2130,540,0.07,92,145674,37366,0.07,92,121292,19018,0.71,905,12362,8641,1403,168490,65044,1903,1240,1224,52642472,957,9313199.29,768,893951.99,12,19800.6,768,913752.59,835,9601251.62,96,682732,460,407,0.1558,-0.1538,20,33,70,73,5,0,5,184,428.5,0.038633333,-0.026666667,60,370,7296,20
2648,1213,1213,46872,37005,0.69,837,44116,39361,0.11,132,50,-342,1213,49774,39246,1213,2494,417,0.11,130,177953,38719,0.1,117,169690,36258,0.69,843,14095,7957,1466,103177,37875,2501,1218,1192,53364743,937,9879672.31,756,924938.52,17,21853.47,756,946785.99,826,9740156.4,131,1011450,837,910,0,0,5,20,47,56,5,0,5,125,502,0,0,30,258,14619,5
2650,33932,33932,56870,47111,0.81,27472,55316,49932,0.14,4783,1043,-128,33932,59457,49318,33932,2480,800,0.07,2430,117643,39672,0.07,2351,81936,21542,0.79,26682,15932,10577,37064,141946,53510,53974,33206,32977,1818236720,27805,371524303.9,23782,32048329.29,326,383415.07,23767,32416408.13,25777,391342841.1,2465,15660744,365,373,0.0735,0.2419,267,238,2148,2450,1093,20,364,6316,326.8571429,0.0359,0.1044,1097,12629,690458,267
2653,1416,1416,48699,42409,0.73,1036,54039,50009,0.15,207,1610,73,1416,50924,44570,1416,1934,527,0.1,137,126362,32200,0.1,135,119582,34709,0.7,998,14031,10868,1548,133369,58063,2334,1400,1380,67785685,1110,12951572.43,955,1203348.28,21,21773.62,955,1225121.9,1009,13504263.8,86,559148,837,910,0,0,5,20,37,60,20,5,5,140,441.4285714,0.021171429,-0.051428571,65,287,24219,5
2655,793,793,49786,42960,0.72,574,50982,48943,0.15,120,88,0,793,52528,44851,793,2325,574,0.1,80,85580,35675,0.1,82,64112,26914,0.74,584,13872,9876,880,110547,59147,1053,819,807,36817826,646,6821334.66,543,654047.29,4,7429.33,543,661476.62,581,7103751.37,49,333406,837,910,0,0,5,0,5,20,5,0,0,20,502,0,0,20,50,17939,5
2658,753,753,45093,36640,0.67,506,40795,38334,0.11,85,3854,926,753,48052,38813,753,2391,450,0.09,67,67454,41873,0.09,67,49291,22094,0.68,515,12303,7895,784,124739,49549,1442,740,732,31269476,579,5505823.5,453,520714.11,2,4310.39,453,525024.5,503,5472559.6,69,461541,837,910,0,0,5,5,20,20,5,5,5,61,502,0,0,35,121,17237,5
2659,513,513,41904,33859,0.65,332,43983,38886,0.11,56,2514,1140,513,44710,36540,513,2178,400,0.09,47,81444,37806,0.1,49,64124,19752,0.65,334,11657,7560,509,112428,55228,920,522,512,21234033,400,3841371.77,321,366281.57,4,3844.24,321,370125.81,354,3917672.64,39,277365,837,910,0,0,5,5,5,20,5,0,5,20,502,0,0,30,60,9208,5
2660,863,863,48500,39834,0.74,636,45927,41709,0.13,113,2092,278,863,50922,41990,863,2239,485,0.09,77,105641,42197,0.09,76,86031,24095,0.72,625,13275,9035,946,110215,50965,1663,891,875,41083709,690,7730320.16,574,718042.83,7,9440.98,574,727483.81,630,7853214.17,60,413067,837,910,0,0,5,5,5,54,5,0,5,79,502,0,0,30,153,18386,5
2663,2373,2373,49758,43543,0.79,1880,52412,47552,0.12,287,754,-144,2373,52198,45862,2373,2302,712,0.07,166,78155,39607,0.07,158,62308,20422,0.77,1831,12769,9381,2732,113720,44437,4578,2319,2303,111853946,1910,20749386.42,1537,1913227.49,19,20957.05,1537,1932767.29,1753,21542278.01,147,979348,315,322,0.3263,2,20,49,76,204,78,5,20,420,437.1428571,-0.019128571,0.247257143,94,852,72111,20
2665,1185,1185,36397,31492,0.57,674,42703,38474,0.13,154,2672,908,1185,39491,34091,1185,2752,319,0.1,123,127164,39187,0.1,119,119660,29374,0.63,748,11295,7928,1229,118128,44813,2338,1209,1186,53771001,942,10366628.16,743,926564.83,6,5012.96,743,931577.79,834,9942638.87,93,589129,837,910,0,0,5,5,5,20,5,0,5,35,502,0,0,30,75,36642,5
2666,3109,3109,44835,37293,0.69,2141,47111,42469,0.13,411,1655,541,3109,47796,39807,3109,2728,660,0.09,279,96349,37781,0.09,273,79430,25190,0.69,2149,12624,8365,3359,146781,57168,5059,3095,3049,140848779,2394,26374116.42,1982,2453230.8,22,25161.25,1982,2477786.69,2152,26764058.88,221,1510844,310,348,0.2277,0.9,20,33,73,155,54,5,20,335,438.5714286,0.012014286,0.2381,87,675,53516,20
2669,911,911,38205,35291,0.56,512,39945,37102,0.12,107,4951,1364,911,41895,38926,911,2841,280,0.11,96,159173,45072,0.1,93,153878,41706,0.67,607,12424,7849,916,91204,34116,2002,953,931,44128444,746,9345601.1,608,806401.61,8,12064.23,608,818455.84,661,9179965.27,60,389720,837,910,0,0,5,0,0,5,5,0,0,5,502,0,0,15,15,28402,5
2671,2265,2265,50017,39387,0.73,1644,54088,45897,0.15,330,1878,330,2265,52911,41942,2265,2262,505,0.1,231,140888,50690,0.1,226,124953,36666,0.72,1629,14839,9648,2417,137718,54388,3891,2265,2236,115262445,1817,23648177.59,1508,2057442.96,20,33197.46,1507,2090004.9,1636,24522401.27,146,1033091,290,280,0.6934,0.2222,20,32,63,113,41,5,20,270,466.4285714,-0.0014,0.0376,50,544,45466,20
2672,817,817,45572,37667,0.69,563,43377,38650,0.12,99,-1526,-514,817,48721,40005,817,2670,444,0.08,69,157270,43920,0.08,67,120019,30292,0.72,591,12345,8973,898,101141,30323,1475,842,829,38886765,678,7443218.18,559,683935.65,12,22771.42,559,706707.07,614,7660278.53,75,425835,837,910,0,0,5,5,20,20,5,0,5,65,502,0,0,30,120,17903,5
2675,981,981,45578,42903,0.79,771,45898,43366,0.12,118,1589,649,981,48030,45464,981,2245,530,0.08,76,160155,57748,0.07,73,163584,50309,0.79,778,11919,8871,1173,71087,25299,1431,988,975,45070752,820,8484532.63,670,795252.19,8,12478.66,670,807730.85,756,8652571.57,75,483339,837,910,0,0,5,5,20,20,20,0,20,82,502,0,0,30,167,28398,5
2680,15379,15379,51189,44192,0.82,12544,49408,45996,0.12,1800,2825,809,15379,53811,46457,15379,2225,554,0.06,944,112867,36528,0.06,899,91742,21711,0.78,11964,13479,9521,17441,117157,30272,22687,15009,14863,734554751,12451,139457540,10348,12878789.81,138,162450.96,10345,13039392.69,11493,146467698.1,1060,6744911,356,379,-0.057,0.4286,60,127,696,787,261,5,239,2111,397,0.054571429,-0.133728571,288,4226,516155,60
2681,1011,1011,48213,43853,0.8,808,52331,48220,0.12,126,1253,727,1011,50459,46493,1011,1947,519,0.07,71,67911,28028,0.07,67,60407,20000,0.75,760,12934,9797,1126,118799,49603,1639,987,966,45496706,796,8354181.55,678,810124.57,5,4402.67,678,814521.44,732,8782839.78,65,378209,837,910,0,0,5,5,20,36,5,0,5,74,502,0,0,30,145,36151,5
2700,2619,2619,44033,40106,0.74,1943,49295,46177,0.15,403,137,-454,2619,47186,42688,2619,2414,803,0.08,202,100342,44736,0.08,197,82926,37018,0.72,1881,11714,8981,2940,106703,44618,4872,2555,2525,114056205,2055,20581608.16,1692,1999563.2,25,27964.96,1692,2027501.24,1826,21341024.46,233,1642981,128,163,-0.3436,-0.0526,20,20,114,180,46,5,20,385,381.8571429,0.008114286,-0.015171429,98,770,64456,20
2701,1373,1373,49208,43036,0.72,990,51938,47476,0.15,208,2128,272,1373,51799,45008,1373,2239,534,0.08,110,97339,45106,0.08,106,82673,29529,0.74,1018,14015,9791,1388,133442,59032,2433,1329,1314,67291071,1071,13333001.45,929,1210503.01,12,18821.96,929,1229322.33,978,13633334.75,79,507783,837,910,0,0,5,5,20,49,31,0,5,105,502,0,0,30,215,29942,5
2702,398,398,41383,37154,0.68,272,42924,44562,0.09,35,25,-1758,398,43246,38898,398,1694,414,0.08,33,99225,27772,0.08,32,99994,12092,0.68,272,10834,8195,430,90335,44024,616,393,390,18149836,304,3414519.13,241,298153.88,5,5569.58,241,303723.46,265,3387367.79,28,225255,837,910,0,0,5,5,5,5,5,0,5,20,502,0,0,30,45,14160,5
2703,386,386,46671,43658,0.83,319,50145,47580,0.12,45,-2359,-1389,386,49075,45822,386,2045,660,0.06,24,89484,66877,0.06,23,78616,42588,0.74,285,11782,10095,457,86683,51274,947,408,401,17604691,330,2920273.24,278,306297.69,1,1319.36,278,307617.05,294,3068756.88,53,387326,837,910,0,0,5,5,5,20,5,0,5,20,502,0,0,30,60,12689,5
2705,5838,5838,48494,43880,0.8,4655,52272,48818,0.12,724,207,-184,5838,50956,46040,5838,2134,657,0.07,390,96373,38758,0.07,380,82690,24521,0.75,4401,12849,9842,6609,111842,44219,10013,5745,5684,273832341,4680,50878968.15,3996,4849209.79,38,43199.63,3995,4890180.67,4277,53154161.5,501,3330749,291,304,0.3153,-0.2273,34,52,221,277,126,5,92,769,371.5714286,0.028414286,0.653871429,136,1542,198627,34
2706,675,675,45165,45791,0.85,571,47327,46697,0.1,69,2374,1,675,47291,46853,675,1953,614,0.06,41,119210,42000,0.06,38,96501,20092,0.79,535,10946,9117,791,89765,39168,1210,650,643,29220026,532,5047652.75,442,507073.49,6,9011.78,442,516085.27,479,5327155.85,72,433312,837,910,0,0,5,5,20,47,5,5,5,86,502,0,0,35,173,22962,5
2707,863,863,44205,39401,0.63,546,44415,41084,0.13,111,453,891,863,49138,44080,863,3506,348,0.11,93,218224,70382,0.1,90,208491,49652,0.73,626,12501,8974,902,150731,40188,1313,902,886,39512288,729,8028442.14,583,724309.89,8,9642.12,583,733952.01,656,8151747.38,44,286783,837,910,0,0,5,5,5,5,5,0,5,32,502,0,0,30,57,21516,5
2710,5688,5688,47278,40194,0.73,4175,48440,44649,0.12,685,1666,912,5688,50505,43000,5688,2368,523,0.09,536,159148,50546,0.09,519,142729,32690,0.72,4116,13140,8862,6261,134387,50965,9834,5695,5602,248992374,4485,46276129.76,3692,4366307.07,50,62530.95,3691,4428004.98,4006,47342215.59,472,3155618,225,243,-0.0132,0.5926,43,71,323,284,88,5,20,788,312.7142857,0.069114286,0.121171429,220,1579,76297,43
2711,1869,1869,47244,41561,0.75,1405,46806,42999,0.14,260,2226,255,1869,50347,43744,1869,2542,639,0.1,196,113492,36604,0.1,188,94193,25548,0.75,1405,12415,9287,2104,119166,39824,3293,1885,1864,86508430,1535,15686610.48,1307,1526179.98,20,22217.32,1307,1548397.3,1403,16146691.79,157,1033417,837,910,0,0,5,5,75,73,20,5,20,196,457.4285714,-0.003657143,0.026785714,50,394,43844,5
2712,710,710,44690,37384,0.66,466,46340,41985,0.12,85,4391,912,710,47488,39149,710,2513,433,0.11,75,165171,56964,0.1,68,174613,40458,0.69,491,12792,8717,789,122414,46852,1409,733,722,30538425,550,5448107.86,429,514169.5,7,6910.22,429,521079.72,478,5615932.78,49,331582,837,910,0,0,5,5,20,20,5,0,5,71,502,0,0,30,126,11921,5
2713,1571,1571,41124,37042,0.68,1071,46541,42602,0.1,158,-655,85,1571,44308,39893,1571,2550,516,0.09,135,141489,46280,0.09,134,129554,32268,0.69,1077,11147,7934,1705,117141,44347,3080,1538,1507,60517439,1186,10479433.74,930,1029365.85,12,12291.13,930,1041656.98,1040,10747390.57,136,929524,837,910,0,0,5,5,85,57,20,0,5,171,416.3333333,0.0612,0.126633333,60,343,34226,5
2714,1454,1454,43407,35270,0.68,984,46621,41546,0.12,174,3559,585,1454,46463,38008,1454,2510,520,0.08,122,87056,39472,0.08,116,79204,24544,0.67,970,12159,8120,1638,154364,57612,2384,1409,1384,60018717,1088,10651699.23,849,1002592.56,17,17497.06,849,1020089.62,947,10955712.96,109,657087,259,299,-0.1525,0.0909,20,5,61,73,20,0,5,157,502,0,0,30,321,22308,20
2715,799,799,52230,42563,0.72,575,48077,44401,0.11,88,-1037,-69,799,55834,45524,799,2836,835,0.11,85,129654,47695,0.1,83,114172,25523,0.78,623,13920,8657,898,95021,40500,1625,800,784,37764975,658,7250919.62,551,671149.14,12,24577.03,551,695726.17,602,7368752.31,49,293598,837,910,0,0,5,5,20,36,20,0,5,82,445,-0.0697,0.166666667,45,168,8337,5
2716,675,675,47924,37948,0.72,489,43446,39247,0.15,103,163,235,675,51478,39833,675,2457,453,0.08,57,165457,61520,0.09,58,142539,53032,0.71,480,13938,8894,752,186316,48244,1070,703,697,33564903,554,6719960.9,447,593009.31,4,5765.28,447,598774.59,504,6878747.83,44,297840,837,910,0,0,5,5,20,20,5,5,5,49,502,0,0,35,109,8732,5
2717,616,616,44746,36702,0.74,456,44042,39586,0.09,56,2860,1576,616,47428,38284,616,2543,485,0.08,49,169702,36353,0.07,45,152686,33405,0.69,428,11938,7598,727,82776,34391,1385,586,576,25026507,459,4366788.75,369,423905.84,4,4702.42,369,428608.26,394,4453407.57,70,543052,837,910,0,0,5,20,20,20,5,0,5,64,502,0,0,30,134,12021,5
2720,4409,4409,53821,44837,0.79,3502,56800,50440,0.13,556,1179,460,4409,56091,46823,4409,2155,652,0.07,325,75409,40005,0.07,323,58395,27703,0.77,3378,14764,10780,5053,126267,57943,7822,4381,4350,228309836,3622,44781770.4,3080,4046055.63,62,75372.67,3077,4116668.15,3319,46864771.23,296,1743632,330,335,0,-0.2759,20,44,238,290,89,5,20,693,402.2857143,0.011471429,-0.0208,128,1379,74237,20
2722,1731,1731,47622,39764,0.77,1329,46548,42685,0.11,194,1916,446,1731,50509,41755,1731,2444,500,0.09,152,118142,43556,0.09,150,101525,36196,0.74,1288,12379,8248,1969,124060,46969,2978,1733,1701,82480113,1408,15565000.5,1160,1439490.16,24,26067.01,1160,1465557.17,1268,15907783.41,138,814252,837,910,0,0,5,5,61,54,20,0,20,158,460,0,-0.029416667,45,318,39452,5
2729,901,901,51606,41897,0.73,656,52414,47949,0.14,126,3215,2100,901,54397,44385,901,2464,575,0.1,93,120680,54643,0.1,94,101388,35284,0.72,652,15120,11113,996,125024,61092,1729,920,910,47138126,730,9511942.97,604,827966.25,6,9792.72,603,837725.67,662,9537257.61,81,535809,837,910,0,0,5,5,20,20,5,0,5,58,502,0,0,30,113,14657,5
2730,822,822,44104,38140,0.8,660,45464,40767,0.1,84,761,198,822,46068,39976,822,1830,452,0.05,42,85352,32714,0.06,46,60015,16784,0.74,609,10942,7533,1043,90642,40274,1423,829,825,35154828,667,6147123.83,510,598748.98,12,17673.75,510,616422.73,592,6415060.96,68,472599,837,910,0,0,5,5,20,31,5,0,5,54,502,0,0,30,120,11436,5
2731,3683,3683,52995,41923,0.73,2685,51149,46501,0.13,487,893,0,3683,55974,44231,3683,2626,653,0.08,305,98865,41254,0.08,293,79199,18561,0.73,2695,15663,9927,4011,166015,67084,5561,3580,3542,235674729,2826,61537338.81,2378,4296707.06,39,55925.49,2378,4350966.68,2567,65220027.21,252,1493888,498,509,0.2134,0.037,20,5,180,192,78,0,20,475,411.5,-0.0127,0.078416667,113,950,15844,20
2732,1035,1035,44392,34874,0.63,649,45823,39175,0.14,143,1046,902,1035,47199,36806,1035,2300,396,0.1,100,84062,29693,0.09,94,71676,19064,0.66,686,13766,7340,1063,161154,61014,1859,1037,1016,42087252,765,7917142.53,600,722346.97,7,11594.89,600,733941.86,664,8213592.02,83,565497,837,910,0,0,5,20,36,20,20,0,5,108,449.1666667,-0.0125,0.125,45,209,2829,5
2738,981,981,56824,46547,0.72,704,53839,48138,0.14,140,15,-627,981,60797,48785,981,3212,788,0.08,82,107506,30448,0.08,77,92073,21741,0.74,724,18360,11149,1033,224360,70722,1223,915,901,56990886,734,13464405.64,647,1056373.83,15,14336.99,647,1070710.82,675,14177130.38,46,211645,837,910,0,0,5,5,20,20,20,0,5,69,502,0,0,30,139,8052,5
2739,737,737,52011,42297,0.77,567,49616,43602,0.12,89,-77,-425,737,55917,43943,737,3678,801,0.1,73,101233,33192,0.09,69,86703,23752,0.78,578,14033,8352,1393,105136,5880,1501,680,669,33538313,559,6537351.38,459,590099.1,8,9387.07,459,599486.17,498,6786483.33,63,407366,837,910,0,0,5,20,44,37,20,0,0,118,351.2,0.05454,-0.12052,55,239,6779,5
2745,18496,18496,66058,55497,0.87,16128,66190,59462,0.17,3179,-2647,-2527,18496,68900,58266,18496,2806,1122,0.07,1273,93130,35934,0.07,1232,68491,17336,0.83,15297,19107,13891,20154,132430,62050,26233,17993,17908,1145070081,15573,251418762.3,14087,21322152.75,327,425710.16,14082,21735638.9,14780,267657192.5,674,3406534,785,808,0.1377,0.1127,79,52,107,741,936,5,65,1906,470.5714286,-0.0358,0.028,386,3812,334578,79
2747,26245,26245,57939,50594,0.88,23186,59179,54898,0.12,3063,-3113,-2676,26245,60330,52629,26245,2369,1005,0.07,1723,67664,29150,0.06,1659,49540,13872,0.82,21426,15597,11539,29740,82508,41962,34249,24506,24345,1327771255,21119,257264722.4,18673,24045666.13,378,432004.06,18674,24476998.59,19880,274016569.3,1693,10333167,630,602,0.0244,0.3037,176,274,1186,2139,1493,42,389,5523,385,-0.034471429,-0.037957143,1053,11046,447228,176
2749,9966,9966,59980,51718,0.87,8641,61582,56043,0.14,1441,-2252,-2121,9966,62559,54154,9966,2548,993,0.06,615,90324,37887,0.06,598,67191,20027,0.81,8119,16462,12330,11231,105228,50649,15771,9898,9831,577182072,8502,119505898.7,7611,10598581.57,169,215220.68,7610,10798696.91,8037,126721946.9,550,3192679,653,663,0.1549,0.0769,42,20,70,544,245,5,58,941,487.5714286,-0.001585714,-0.052957143,141,1883,237602,42
2750,26421,26421,58356,50617,0.85,22589,60720,55150,0.13,3424,-2088,-1938,26421,60843,52627,26421,2440,910,0.06,1678,79837,29732,0.06,1626,57264,15182,0.79,21001,16229,12096,30423,107051,51529,42587,25584,25426,1436907615,21712,290726804.8,19223,26184399.6,409,504680.3,19218,26680203.86,20304,308578287.6,1667,10290734,601,590,0.113,0.4254,191,445,2306,2515,776,20,322,6390,422.7142857,-0.0447,-0.101514286,1255,12774,432274,191
2752,3174,3174,60425,53690,0.86,2720,63477,57302,0.18,558,-2406,-1449,3174,63137,55840,3174,2673,1094,0.07,209,86924,39300,0.07,210,62548,21192,0.82,2602,16574,13010,3542,110058,61493,4675,3096,3075,179830338,2668,37033025.9,2436,3349064.59,53,77140.86,2436,3426205.45,2534,39312909.68,115,656738,880,865,0.483,-0.2778,20,20,34,80,59,5,20,196,491,0.007057143,0.008928571,50,414,97674,20
2753,10114,10114,57914,47472,0.8,8120,59111,51941,0.17,1732,902,-268,10114,60357,49728,10114,2398,756,0.09,873,90362,40410,0.08,855,63515,20388,0.78,7877,16554,11514,11434,116435,49175,17082,9947,9877,560677693,8322,116405347.5,7191,10025843.88,174,218296.75,7191,10243748.81,7711,123019394.3,573,3401040,650,809,0.0156,0.4167,51,99,403,677,238,5,75,1496,466.5714286,0.003671429,-0.005828571,250,2993,234034,51
